epoch,train_loss,val_auc,smooth_auc,lr_backbone,lr_head
0,1.262782,0.599451,0.599451,0.00e+00,1.00e-03
1,1.449897,0.599451,0.599451,0.00e+00,1.00e-03
2,1.430219,0.599451,0.599451,0.00e+00,1.00e-03
3,1.528030,0.599451,0.599451,0.00e+00,1.00e-03
4,1.537495,0.599451,0.599451,0.00e+00,1.00e-03
5,1.214975,0.596708,0.598903,1.00e-05,5.00e-04
6,1.110728,0.596708,0.598464,1.00e-05,5.00e-04
7,1.070530,0.596708,0.598112,1.00e-05,5.00e-04
8,1.030338,0.596708,0.597832,5.00e-06,2.50e-04
9,0.926962,0.596708,0.597607,5.00e-06,2.50e-04
10,0.882638,0.692730,0.616631,5.00e-06,2.50e-04
11,0.874481,0.692730,0.631851,5.00e-06,2.50e-04
12,0.850578,0.692730,0.644027,5.00e-06,2.50e-04
13,0.847811,0.692730,0.653767,5.00e-06,2.50e-04
14,0.841696,0.692730,0.661560,5.00e-06,2.50e-04
15,0.843875,0.606310,0.650510,3.00e-05,3.00e-04
16,0.839280,0.606310,0.641670,3.00e-05,3.00e-04
17,0.838364,0.606310,0.634598,3.00e-05,3.00e-04
18,0.831060,0.606310,0.628940,3.00e-05,3.00e-04
19,0.833900,0.606310,0.624414,3.00e-05,3.00e-04
20,0.827336,0.632373,0.626006,3.00e-05,3.00e-04
21,0.826986,0.632373,0.627279,3.00e-05,3.00e-04
22,0.822882,0.632373,0.628298,1.50e-05,1.50e-04
23,0.802051,0.632373,0.629113,1.50e-05,1.50e-04
24,0.779824,0.632373,0.629765,1.50e-05,1.50e-04
25,0.776017,0.632373,0.630287,1.50e-05,1.50e-04
26,0.763990,0.632373,0.630704,1.50e-05,1.50e-04
27,0.764426,0.632373,0.631038,1.50e-05,1.50e-04
28,0.761309,0.632373,0.631305,1.50e-05,1.50e-04
29,0.759163,0.632373,0.631519,1.50e-05,1.50e-04
