epoch,train_loss,val_loss,lr,mask_ratio
0,0.11806299,0.01475103,9.99e-05,0.20
1,0.03165664,0.01402557,9.96e-05,0.20
2,0.02058915,0.01338406,9.91e-05,0.20
3,0.01623091,0.01412259,9.84e-05,0.20
4,0.01382372,0.01426262,9.76e-05,0.20
5,0.01240755,0.01332159,9.65e-05,0.20
6,0.01159426,0.01469159,9.53e-05,0.20
7,0.01111310,0.01388721,9.39e-05,0.20
8,0.01060553,0.01443406,9.23e-05,0.20
9,0.01009814,0.01546419,9.05e-05,0.20
10,0.00977037,0.01467565,8.86e-05,0.20
11,0.00962782,0.01460316,8.66e-05,0.20
12,0.00935848,0.01493340,8.44e-05,0.20
13,0.00932523,0.01498646,8.21e-05,0.20
14,0.00900709,0.01455992,7.96e-05,0.20
15,0.00905408,0.01373854,7.70e-05,0.20
16,0.00877224,0.01453693,7.43e-05,0.20
17,0.00886715,0.01438961,7.16e-05,0.20
18,0.00861351,0.01518957,6.87e-05,0.20
19,0.00860935,0.01413846,6.58e-05,0.20
20,0.00857400,0.01571372,6.28e-05,0.30
21,0.00846680,0.01536781,5.98e-05,0.30
22,0.00834923,0.01599367,5.67e-05,0.30
23,0.00850659,0.01490523,5.36e-05,0.30
24,0.00839795,0.01495064,5.05e-05,0.30
25,0.00821216,0.01530203,4.74e-05,0.30
26,0.00821679,0.01515349,4.43e-05,0.30
27,0.00824187,0.01483090,4.12e-05,0.30
28,0.00821932,0.01518297,3.82e-05,0.30
29,0.00814306,0.01592195,3.52e-05,0.30
30,0.00805321,0.01480749,3.23e-05,0.30
31,0.00812344,0.01540069,2.94e-05,0.30
32,0.00810933,0.01533367,2.67e-05,0.30
33,0.00803162,0.01555182,2.40e-05,0.30
34,0.00805003,0.01490546,2.14e-05,0.30
35,0.00797463,0.01536192,1.89e-05,0.30
36,0.00795130,0.01543516,1.66e-05,0.30
37,0.00797669,0.01556815,1.44e-05,0.30
38,0.00797507,0.01532808,1.24e-05,0.30
39,0.00799157,0.01520136,1.05e-05,0.30
40,0.00790678,0.01570450,8.71e-06,0.30
41,0.00793363,0.01536028,7.12e-06,0.30
42,0.00790888,0.01575798,5.71e-06,0.30
43,0.00788992,0.01559570,4.48e-06,0.30
44,0.00784023,0.01500881,3.42e-06,0.30
45,0.00789250,0.01503175,2.56e-06,0.30
46,0.00793267,0.01499117,1.88e-06,0.30
47,0.00781440,0.01487285,1.39e-06,0.30
48,0.00798314,0.01521707,1.10e-06,0.30
49,0.00790334,0.01529699,1.00e-04,0.30
50,0.00820405,0.01519350,1.00e-04,0.40
51,0.00799402,0.01619926,9.99e-05,0.40
52,0.00815258,0.01726865,9.98e-05,0.40
53,0.00806866,0.01675332,9.96e-05,0.40
54,0.00796363,0.01631342,9.94e-05,0.40
55,0.00798965,0.01647817,9.91e-05,0.40
