epoch,train_loss,val_auc,smooth_auc,lr_backbone,lr_head
0,1.209311,0.609848,0.609848,0.00e+00,1.00e-03
1,1.338486,0.609848,0.609848,0.00e+00,1.00e-03
2,1.354028,0.609848,0.609848,0.00e+00,1.00e-03
3,1.400257,0.609848,0.609848,0.00e+00,1.00e-03
4,1.414060,0.609848,0.609848,0.00e+00,1.00e-03
5,1.162914,0.585227,0.604924,2.00e-06,5.00e-04
6,1.082803,0.585227,0.600985,4.00e-06,5.00e-04
7,1.037729,0.585227,0.597833,6.00e-06,5.00e-04
8,0.994086,0.585227,0.595312,8.00e-06,2.50e-04
9,0.900245,0.585227,0.593295,1.00e-05,2.50e-04
10,0.866234,0.689394,0.612515,1.00e-05,2.50e-04
11,0.845668,0.689394,0.627891,1.00e-05,2.50e-04
12,0.826422,0.689394,0.640191,1.00e-05,2.50e-04
13,0.818412,0.689394,0.650032,1.00e-05,2.50e-04
14,0.811427,0.689394,0.657904,1.00e-05,2.50e-04
15,0.828852,0.691288,0.664581,6.00e-06,3.00e-04
16,0.830120,0.691288,0.669922,1.20e-05,3.00e-04
17,0.825677,0.691288,0.674195,1.80e-05,3.00e-04
18,0.821875,0.691288,0.677614,2.40e-05,3.00e-04
19,0.819509,0.691288,0.680349,3.00e-05,3.00e-04
20,0.815847,0.712121,0.686703,3.00e-05,3.00e-04
21,0.815323,0.712121,0.691787,3.00e-05,3.00e-04
22,0.807586,0.712121,0.695854,3.00e-05,3.00e-04
23,0.805994,0.712121,0.699107,3.00e-05,3.00e-04
24,0.805465,0.712121,0.701710,3.00e-05,3.00e-04
25,0.799318,0.683712,0.698110,3.00e-05,3.00e-04
26,0.801565,0.683712,0.695231,3.00e-05,3.00e-04
27,0.796885,0.683712,0.692927,3.00e-05,3.00e-04
28,0.797768,0.683712,0.691084,3.00e-05,3.00e-04
29,0.794124,0.683712,0.689610,3.00e-05,3.00e-04
30,0.771714,0.623106,0.676309,1.00e-05,1.00e-04
31,0.756188,0.623106,0.665668,2.00e-05,1.00e-04
32,0.748615,0.623106,0.657156,3.00e-05,5.00e-05
33,0.739556,0.623106,0.650346,4.00e-05,5.00e-05
34,0.736291,0.623106,0.644898,5.00e-05,5.00e-05
35,0.734991,0.755682,0.667055,5.00e-05,5.00e-05
36,0.728448,0.755682,0.684780,5.00e-05,5.00e-05
37,0.726867,0.755682,0.698960,5.00e-05,5.00e-05
38,0.723633,0.755682,0.710305,5.00e-05,5.00e-05
39,0.721996,0.755682,0.719380,5.00e-05,5.00e-05
40,0.719385,0.603220,0.696148,5.00e-05,5.00e-05
41,0.718632,0.603220,0.677562,5.00e-05,5.00e-05
42,0.716210,0.603220,0.662694,5.00e-05,5.00e-05
43,0.715054,0.603220,0.650799,5.00e-05,5.00e-05
44,0.713228,0.603220,0.641283,5.00e-05,5.00e-05
45,0.714212,0.706439,0.654314,5.00e-05,5.00e-05
46,0.711830,0.706439,0.664739,5.00e-05,5.00e-05
47,0.711128,0.706439,0.673079,2.50e-05,2.50e-05
48,0.705789,0.706439,0.679751,2.50e-05,2.50e-05
49,0.704166,0.706439,0.685089,2.50e-05,2.50e-05
50,0.704068,0.649621,0.677995,2.50e-05,2.50e-05
51,0.701906,0.649621,0.672321,2.50e-05,2.50e-05
52,0.700068,0.649621,0.667781,2.50e-05,2.50e-05
53,0.700962,0.649621,0.664149,2.50e-05,2.50e-05
54,0.700149,0.649621,0.661243,2.50e-05,2.50e-05
55,0.699790,0.734848,0.675964,1.25e-05,1.25e-05
56,0.698833,0.734848,0.687741,1.25e-05,1.25e-05
57,0.694745,0.734848,0.697163,1.25e-05,1.25e-05
58,0.695677,0.734848,0.704700,1.25e-05,1.25e-05
59,0.696167,0.734848,0.710730,1.25e-05,1.25e-05
