epoch,train_loss,val_auc,smooth_auc,lr_backbone,lr_head
0,1.276484,0.687243,0.687243,0.00e+00,1.00e-03
1,1.437959,0.687243,0.687243,0.00e+00,1.00e-03
2,1.436093,0.687243,0.687243,0.00e+00,1.00e-03
3,1.447277,0.687243,0.687243,0.00e+00,1.00e-03
4,1.480915,0.687243,0.687243,0.00e+00,1.00e-03
5,1.228396,0.534979,0.656790,2.00e-06,5.00e-04
6,1.163044,0.534979,0.632428,4.00e-06,5.00e-04
7,1.091718,0.534979,0.612938,6.00e-06,5.00e-04
8,1.068618,0.534979,0.597347,8.00e-06,2.50e-04
9,0.931479,0.534979,0.584873,1.00e-05,2.50e-04
10,0.894807,0.714678,0.610834,1.00e-05,2.50e-04
11,0.868601,0.714678,0.631603,1.00e-05,2.50e-04
12,0.854829,0.714678,0.648218,1.00e-05,2.50e-04
13,0.837277,0.714678,0.661510,1.00e-05,2.50e-04
14,0.839329,0.714678,0.672143,1.00e-05,2.50e-04
15,0.835564,0.533608,0.644436,6.00e-06,3.00e-04
16,0.841007,0.533608,0.622270,1.20e-05,1.50e-04
17,0.808783,0.533608,0.604538,1.80e-05,1.50e-04
18,0.785908,0.533608,0.590352,2.40e-05,1.50e-04
19,0.781593,0.533608,0.579003,3.00e-05,1.50e-04
20,0.773448,0.721536,0.607510,3.00e-05,1.50e-04
21,0.767831,0.721536,0.630315,3.00e-05,1.50e-04
22,0.763444,0.721536,0.648559,3.00e-05,1.50e-04
23,0.760858,0.721536,0.663155,3.00e-05,1.50e-04
24,0.754959,0.721536,0.674831,1.50e-05,7.50e-05
25,0.746011,0.632373,0.666339,1.50e-05,7.50e-05
26,0.743631,0.632373,0.659546,1.50e-05,7.50e-05
27,0.735603,0.632373,0.654112,1.50e-05,7.50e-05
28,0.733289,0.632373,0.649764,1.50e-05,7.50e-05
29,0.731498,0.632373,0.646286,1.50e-05,7.50e-05
30,0.727979,0.574760,0.631981,1.00e-05,1.00e-04
31,0.731437,0.574760,0.620536,2.00e-05,1.00e-04
32,0.730211,0.574760,0.611381,3.00e-05,5.00e-05
33,0.727846,0.574760,0.604057,4.00e-05,5.00e-05
34,0.728198,0.574760,0.598198,5.00e-05,5.00e-05
35,0.724717,0.731139,0.624786,5.00e-05,5.00e-05
36,0.721525,0.731139,0.646056,5.00e-05,5.00e-05
37,0.721461,0.731139,0.663073,5.00e-05,5.00e-05
38,0.718195,0.731139,0.676686,5.00e-05,5.00e-05
39,0.718770,0.731139,0.687576,5.00e-05,5.00e-05
40,0.715605,0.676269,0.685315,5.00e-05,5.00e-05
41,0.716872,0.676269,0.683506,5.00e-05,5.00e-05
42,0.715537,0.676269,0.682058,5.00e-05,5.00e-05
43,0.713353,0.676269,0.680900,5.00e-05,5.00e-05
44,0.711263,0.676269,0.679974,5.00e-05,5.00e-05
45,0.713118,0.714678,0.686915,5.00e-05,5.00e-05
46,0.710273,0.714678,0.692467,5.00e-05,5.00e-05
47,0.708955,0.714678,0.696909,5.00e-05,5.00e-05
48,0.711032,0.714678,0.700463,5.00e-05,5.00e-05
49,0.708338,0.714678,0.703306,5.00e-05,5.00e-05
50,0.707644,0.661180,0.694881,5.00e-05,5.00e-05
51,0.708311,0.661180,0.688141,5.00e-05,5.00e-05
52,0.705810,0.661180,0.682748,5.00e-05,5.00e-05
53,0.706450,0.661180,0.678435,5.00e-05,5.00e-05
54,0.705028,0.661180,0.674984,5.00e-05,5.00e-05
55,0.706126,0.748971,0.689781,5.00e-05,5.00e-05
56,0.705406,0.748971,0.701619,5.00e-05,5.00e-05
57,0.705876,0.748971,0.711090,5.00e-05,5.00e-05
58,0.703013,0.748971,0.718666,5.00e-05,5.00e-05
59,0.704815,0.748971,0.724727,5.00e-05,5.00e-05
60,0.701749,0.684499,0.716681,5.00e-05,5.00e-05
61,0.702356,0.684499,0.710245,5.00e-05,5.00e-05
62,0.703179,0.684499,0.705096,5.00e-05,5.00e-05
63,0.703905,0.684499,0.700977,5.00e-05,5.00e-05
64,0.702084,0.684499,0.697681,5.00e-05,5.00e-05
65,0.699423,0.702332,0.698611,5.00e-05,5.00e-05
66,0.700478,0.702332,0.699355,5.00e-05,5.00e-05
67,0.700127,0.702332,0.699951,2.50e-05,2.50e-05
68,0.697433,0.702332,0.700427,2.50e-05,2.50e-05
69,0.693224,0.702332,0.700808,2.50e-05,2.50e-05
70,0.693885,0.658436,0.692334,2.50e-05,2.50e-05
71,0.693028,0.658436,0.685554,2.50e-05,2.50e-05
72,0.691960,0.658436,0.680131,2.50e-05,2.50e-05
73,0.690381,0.658436,0.675792,2.50e-05,2.50e-05
74,0.692983,0.658436,0.672321,2.50e-05,2.50e-05
75,0.689241,0.743484,0.686553,1.25e-05,1.25e-05
76,0.687565,0.743484,0.697939,1.25e-05,1.25e-05
77,0.686048,0.743484,0.707048,1.25e-05,1.25e-05
78,0.683908,0.743484,0.714336,1.25e-05,1.25e-05
79,0.685826,0.743484,0.720165,1.25e-05,1.25e-05
