epoch,train_loss,val_loss,lr,mask_ratio
0,0.11788819,0.01508140,9.99e-05,0.20
1,0.03171540,0.01432948,9.96e-05,0.20
2,0.02063795,0.01362282,9.91e-05,0.20
3,0.01626229,0.01432494,9.84e-05,0.20
4,0.01386267,0.01448616,9.76e-05,0.20
5,0.01242895,0.01346982,9.65e-05,0.20
6,0.01162518,0.01485064,9.53e-05,0.20
7,0.01115896,0.01404129,9.39e-05,0.20
8,0.01065213,0.01462494,9.23e-05,0.20
9,0.01015251,0.01572534,9.05e-05,0.20
10,0.00980953,0.01492481,8.86e-05,0.20
11,0.00969016,0.01474657,8.66e-05,0.20
12,0.00941109,0.01511826,8.44e-05,0.20
13,0.00937524,0.01519920,8.21e-05,0.20
14,0.00906532,0.01477555,7.96e-05,0.20
15,0.00911905,0.01391570,7.70e-05,0.20
16,0.00883786,0.01474066,7.43e-05,0.20
17,0.00892591,0.01446306,7.16e-05,0.20
18,0.00867709,0.01537586,6.87e-05,0.20
19,0.00867588,0.01419925,6.58e-05,0.20
20,0.00863767,0.01590079,6.28e-05,0.30
21,0.00851955,0.01555532,5.98e-05,0.30
22,0.00840824,0.01609818,5.67e-05,0.30
23,0.00856216,0.01502196,5.36e-05,0.30
24,0.00845582,0.01508290,5.05e-05,0.30
25,0.00826512,0.01539643,4.74e-05,0.30
26,0.00827285,0.01522785,4.43e-05,0.30
27,0.00829732,0.01491145,4.12e-05,0.30
28,0.00826670,0.01533468,3.82e-05,0.30
29,0.00819532,0.01597431,3.52e-05,0.30
30,0.00810209,0.01488887,3.23e-05,0.30
31,0.00818370,0.01563907,2.94e-05,0.30
32,0.00816679,0.01553018,2.67e-05,0.30
33,0.00809642,0.01573782,2.40e-05,0.30
34,0.00810332,0.01503499,2.14e-05,0.30
35,0.00803074,0.01549506,1.89e-05,0.30
36,0.00800969,0.01554137,1.66e-05,0.30
37,0.00802624,0.01573931,1.44e-05,0.30
38,0.00803443,0.01546812,1.24e-05,0.30
39,0.00804762,0.01530930,1.05e-05,0.30
40,0.00796213,0.01586418,8.71e-06,0.30
41,0.00799511,0.01558238,7.12e-06,0.30
42,0.00795969,0.01588777,5.71e-06,0.30
43,0.00794429,0.01568685,4.48e-06,0.30
44,0.00788945,0.01517185,3.42e-06,0.30
45,0.00794341,0.01514483,2.56e-06,0.30
46,0.00798682,0.01509325,1.88e-06,0.30
47,0.00787246,0.01503645,1.39e-06,0.30
48,0.00804012,0.01533979,1.10e-06,0.30
49,0.00795944,0.01544001,1.00e-04,0.30
50,0.00824945,0.01533447,1.00e-04,0.40
51,0.00805468,0.01636687,9.99e-05,0.40
52,0.00820693,0.01720981,9.98e-05,0.40
53,0.00812395,0.01670943,9.96e-05,0.40
54,0.00801624,0.01641481,9.94e-05,0.40
55,0.00803343,0.01668272,9.91e-05,0.40
